"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Brasil e Município";"Ano"
"Brasil e Município";"2022"
"Brasil";"203080756"
"Abaiara (CE)";"10038"
"Acarape (CE)";"14027"
"Acaraú (CE)";"65264"
"Acopiara (CE)";"44962"
"Aiuaba (CE)";"14076"
"Alcântaras (CE)";"11369"
"Altaneira (CE)";"6782"
"Alto Santo (CE)";"14155"
"Amontada (CE)";"42156"
"Antonina do Norte (CE)";"7245"
"Apuiarés (CE)";"12928"
"Aquiraz (CE)";"80645"
"Aracati (CE)";"75113"
"Aracoiaba (CE)";"25553"
"Ararendá (CE)";"11096"
"Araripe (CE)";"19783"
"Aratuba (CE)";"11224"
"Arneiroz (CE)";"7429"
"Assaré (CE)";"21697"
"Aurora (CE)";"23714"
"Baixio (CE)";"5704"
"Banabuiú (CE)";"17195"
"Barbalha (CE)";"75033"
"Barreira (CE)";"22392"
"Barro (CE)";"19381"
"Barroquinha (CE)";"14567"
"Baturité (CE)";"35218"
"Beberibe (CE)";"53114"
"Bela Cruz (CE)";"32775"
"Boa Viagem (CE)";"50411"
"Brejo Santo (CE)";"51090"
"Camocim (CE)";"62326"
"Campos Sales (CE)";"25135"
"Canindé (CE)";"74174"
"Capistrano (CE)";"17254"
"Caridade (CE)";"16377"
"Cariré (CE)";"17632"
"Caririaçu (CE)";"26320"
"Cariús (CE)";"17015"
"Carnaubal (CE)";"17210"
"Cascavel (CE)";"72720"
"Catarina (CE)";"10243"
"Catunda (CE)";"10444"
"Caucaia (CE)";"355679"
"Cedro (CE)";"22344"
"Chaval (CE)";"12462"
"Choró (CE)";"12113"
"Chorozinho (CE)";"20163"
"Coreaú (CE)";"20953"
"Crateús (CE)";"76390"
"Crato (CE)";"131050"
"Croatá (CE)";"17481"
"Cruz (CE)";"29761"
"Deputado Irapuan Pinheiro (CE)";"8932"
"Ereré (CE)";"6474"
"Eusébio (CE)";"74170"
