Exercício: 2014
Escopo: Municípios do Estado - CE
Tabela: Despesas Orçamentárias (Anexo I-D)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"Total Geral da Despesa";"siconfi-cor_TotalDespesas";5414958046,03
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.0.00.00.00.00 - Despesas Correntes";"siconfi-cor_DO3.0.00.00.00.00";4847583718,51
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.00.00.00.00 - Pessoal e Encargos Sociais";"siconfi-cor_DO3.1.00.00.00.00";2664698722,47
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.00.00.00 - Aplicações Diretas";"siconfi-cor_DO3.1.90.00.00.00";2343555493,66
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.01.00.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares";"siconfi-cor_DO3.1.90.01.00.00";367966200,62
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.03.00.00 - Pensões do RPPS e do Militar";"siconfi-cor_DO3.1.90.03.00.00";79896219,25
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.04.00.00 - Contratação por Tempo Determinado";"siconfi-cor_DO3.1.90.04.00.00";65272566,94
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.05.00.00 - Outros Benefícios Previdenciários do servidor ou do militar";"siconfi-cor_DO3.1.90.05.00.00";921836,31
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.11.00.00 - Vencimentos e Vantagens Fixas - Pessoal Civil";"siconfi-cor_DO3.1.90.11.00.00";1699284243,74
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.13.00.00 - Obrigações Patronais";"siconfi-cor_DO3.1.90.13.00.00";67177264,49
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.13.01.00 - FGTS";"siconfi-cor_DO3.1.90.13.01.00";7893216,46
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.13.02.00 - Contribuições Previdenciárias - INSS";"siconfi-cor_DO3.1.90.13.02.00";52320472,62
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.13.99.00 - Outras Obrigações Patronais";"siconfi-cor_DO3.1.90.13.99.00";6963575,41
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.16.00.00 - Outras Despesas Variáveis - Pessoal Civil";"siconfi-cor_DO3.1.90.16.00.00";8855793,95
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Despesas Empenhadas";"3.1.90.91.00.00 - Sentenças Judiciais";"siconfi-cor_DO3.1.90.91.00.00";24265572,41
