Exercício: 2014
Escopo: Municípios do Estado - CE
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"Total Receitas";"siconfi-cor_TotalReceitas";5659812008,98
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.0.0.0.00.00.00 - Receitas Correntes";"siconfi-cor_RO1.0.0.0.00.00.00";5036004266,69
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.0.0.00.00.00 - Receita Tributária";"siconfi-cor_RO1.1.0.0.00.00.00";1260584517,94
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.0.00.00.00 - Impostos";"siconfi-cor_RO1.1.1.0.00.00.00";1242342443,72
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda";"siconfi-cor_RO1.1.1.2.00.00.00";635773684,43
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU";"siconfi-cor_RO1.1.1.2.02.00.00";308833435,65
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR";"siconfi-cor_RO1.1.1.2.04.00.00";186546032,76
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho";"siconfi-cor_RO1.1.1.2.04.31.00";169961938,37
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos";"siconfi-cor_RO1.1.1.2.04.34.00";16584094,39
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.2.08.00.00 - Imposto sobre Transmissão "Inter Vivos" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";"siconfi-cor_RO1.1.1.2.08.00.00";140394216,02
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação";"siconfi-cor_RO1.1.1.3.00.00.00";606568759,29
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN";"siconfi-cor_RO1.1.1.3.05.00.00";606568759,29
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.2.0.00.00.00 - Taxas";"siconfi-cor_RO1.1.2.0.00.00.00";18242074,22
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia";"siconfi-cor_RO1.1.2.1.00.00.00";12576087,42
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços";"siconfi-cor_RO1.1.2.2.00.00.00";5665986,8
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.0.0.00.00.00 - Receitas de Contribuições";"siconfi-cor_RO1.2.0.0.00.00.00";274456896,97
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.1.0.00.00.00 - Contribuições Sociais";"siconfi-cor_RO1.2.1.0.00.00.00";144093994,29
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público";"siconfi-cor_RO1.2.1.0.29.00.00";144093994,29
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.1.0.29.07.00 - Contribuição do Servidor Ativo Civil para o Regime Próprio";"siconfi-cor_RO1.2.1.0.29.07.00";142688482,05
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.1.0.29.09.00 - Contribuições do Servidor Inativo Civil para o Regime Próprio";"siconfi-cor_RO1.2.1.0.29.09.00";1181974,72
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.1.0.29.11.00 - Contribuições de Pensionista Civil para o Regime Próprio";"siconfi-cor_RO1.2.1.0.29.11.00";223537,52
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública";"siconfi-cor_RO1.2.3.0.00.00.00";130362902,68
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.0.0.00.00.00 - Receita Patrimonial";"siconfi-cor_RO1.3.0.0.00.00.00";196771085,89
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.1.0.00.00.00 - Receitas Imobiliárias";"siconfi-cor_RO1.3.1.0.00.00.00";608459,65
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.1.1.00.00.00 - Aluguéis";"siconfi-cor_RO1.3.1.1.00.00.00";608459,65
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.2.0.00.00.00 - Receitas de Valores Mobiliários";"siconfi-cor_RO1.3.2.0.00.00.00";115114380,31
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.2.1.00.00.00 - Juros de Títulos de Renda";"siconfi-cor_RO1.3.2.1.00.00.00";62028247,38
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários";"siconfi-cor_RO1.3.2.5.00.00.00";53086132,93
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.3.0.00.00.00 - Receitas de Concessões e Permissões";"siconfi-cor_RO1.3.3.0.00.00.00";26023218,29
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.6.0.00.00.00 - Receita da Cessão de Direitos";"siconfi-cor_RO1.3.6.0.00.00.00";55000000,00
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.3.9.0.00.00.00 - Outras Receitas Patrimoniais";"siconfi-cor_RO1.3.9.0.00.00.00";25027,64
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.6.0.0.00.00.00 - Receita de Serviços";"siconfi-cor_RO1.6.0.0.00.00.00";4561983,49
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.6.0.0.02.00.00 - Serviços Financeiros";"siconfi-cor_RO1.6.0.0.02.00.00";539318,5
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.6.0.0.13.00.00 - Serviços Administrativos";"siconfi-cor_RO1.6.0.0.13.00.00";2790973,14
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.6.0.0.16.00.00 - Serviços Educacionais";"siconfi-cor_RO1.6.0.0.16.00.00";889350,4
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.6.0.0.99.00.00 - Demais Receitas de Serviços";"siconfi-cor_RO1.6.0.0.99.00.00";342341,45
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.0.0.00.00.00 - Transferências Correntes";"siconfi-cor_RO1.7.0.0.00.00.00";3143487094,94
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.0.00.00.00 - Transferências Intergovernamentais";"siconfi-cor_RO1.7.2.0.00.00.00";3124327498,31
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.00.00.00 - Transferências da União";"siconfi-cor_RO1.7.2.1.00.00.00";1536892534,51
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.01.00.00 - Participação na Receita da União";"siconfi-cor_RO1.7.2.1.01.00.00";674225395,28
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM";"siconfi-cor_RO1.7.2.1.01.02.00";674215230,00
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR";"siconfi-cor_RO1.7.2.1.01.05.00";10165,28
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais";"siconfi-cor_RO1.7.2.1.22.00.00";16484148,65
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.22.20.00 - Cota-Parte da Compensação Financeira de Recursos Minerais - CFEM";"siconfi-cor_RO1.7.2.1.22.20.00";334679,53
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.22.30.00 - Cota-Parte Royalties ¿ Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89";"siconfi-cor_RO1.7.2.1.22.30.00";5182080,81
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2571896;"Receitas Brutas Realizadas";"1.7.2.1.22.40.00 - Cota-Parte Royalties pelo Excedente da Produção do Petróleo - Lei nº 9.478/97 artigo 49 I e II";"siconfi-cor_RO1.7.2.1.22.40.00";727381,07
